Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
unilever,$1.92,$1.71,$2.65,$1.88,$2.07,$2.40,$32.68,$1.11,$0.37,$0.65,,,,,,,,,,,,,
lowes-companies,$10.17,$10.24,$11.56,$7.09,$3.78,$4.50,$4.17,$2.74,$3.16,$2.53,$2.10,$1.68,$1.39,$1.35,$1.17,$1.68,$2.01,$2.06,$1.65,$1.30,$1.15,$0.89,$0.61
commonwealth-bank,$4.30,$4.32,$3.74,$3.41,$3.95,$4.44,$4.05,$4.25,$5.00,$4.34,$4.57,$4.20,$2.88,$2.63,$3.46,$2.95,$2.28,$1.97,$1.28,$1.02,$1.36,$1.23,
raytheon-technologies,$2.18,$3.52,$2.58,-$2.39,$6.47,$6.62,$5.77,$6.17,$8.77,$6.93,$6.35,$5.73,$5.59,$4.82,$4.17,$5.00,$4.38,$3.81,$3.10,$1.91,$4.92,$2.34,$2.03
sanofi,$3.18,$2.83,$2.88,$1.24,$2.03,$3.68,$2.03,$1.83,$2.16,$1.87,$2.43,$2.92,$2.75,$2.83,$1.06,$2.73,$1.87,$1.45,$2.33,$1.76,,,
rio-tinto,$13.03,$6.04,$4.91,$7.93,$4.90,$2.57,-$0.48,$3.53,$1.98,-$1.64,$3.03,$7.30,$0.02762,$1.93,$4.70,$4.61,$3.16,$197.52,$90.46,$0.39,$1.00,,
charles-schwab,$3.02,$3.52,$2.84,$2.12,$2.68,$2.47,$1.63,$1.33,$1.04,$0.96,$0.78,$0.69,$0.70,$0.47,$0.68,$1.06,$2.03,$0.97,$0.56,$0.21,$0.35,$0.08000,$0.14
goldman-sachs,$20.83,$30.38,$60.12,$31.41,$21.16,$25.52,$8.81,$16.61,$12.29,$17.55,$16.32,$14.70,$4.69,$14.13,$23.50,$5.11,$26.32,$20.91,$11.74,$9.30,$6.15,$4.26,$4.52
booking-holdings,$144.92,$78.22,$28.36,$1.51,$113.71,$84.29,$47.63,$43.15,$50.25,$46.27,$37.05,$28.48,$21.24,$10.92,$11.41,$4.61,$4.10,$1.89,$4.87,$0.78,$0.24,-$0.57,-$0.54
elevance-health,$25.71,$24.89,$25.03,$18.18,$18.81,$14.55,$14.76,$9.39,$9.72,$9.37,$8.34,$8.30,$7.37,$7.09,$9.98,$4.79,$5.64,$4.93,$4.04,$2.61,$2.80,$2.29,
lockheed-martin,$27.47,$21.79,$22.84,$24.40,$22.08,$17.74,$6.92,$17.39,$11.61,$11.41,$9.30,$8.48,$7.91,$7.95,$7.74,$8.06,$7.30,$5.91,$4.15,$2.86,$2.36,$1.13,-$2.45
blackrock,$34.57,$34.26,$38.61,$32.05,$28.59,$26.74,$30.47,$19.22,$20.03,$19.50,$17.17,$14.00,$12.51,$10.63,$6.20,$5.84,$7.50,$3.84,$3.62,$2.24,$2.38,$2.05,$1.67
prologis,$3.26,$4.38,$3.98,$2.02,$2.48,$2.87,$3.09,$2.29,$1.66,$1.25,$0.68,-$0.18,-$0.41,-$5.26,-$0.73,-$0.69,$3.02,$2.39,$2.98,$1.44,$1.47,$0.76,$1.43
